Navn;Deklareret faktor;Deklareret enhed;Massefaktor;A1tilA3;C3;C4;D;Type;Kilde
3-lags-rude;1;M2;30,00;57.77;3.03;0.49;-1.41;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Affald, byggeaffald, deponering (ikke glas);1;KG;1,00;;;0.01;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Affald, inert, deponering (glas);1;KG;1,00;;;0.01;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Affald, kunststof, forbrænding fjernvarme;1;KG;1,00;;2.53;;-1.41;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Affald, stenuld høj densitet;1;M3;155,00;;;2.46;-5.42;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Affald, stenuld lav densitet;1;M3;39,00;;;0.62;-1.36;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Affald, stenuld middel densitet;1;M3;96,00;;;1.52;-3.36;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Affald, træ, forbrænding fjernvarme;1;KG;1,00;;1.82;;-0.69;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Afretningslag, cementbaseret;1;KG;1,00;0.18;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Afretningslag, hårdeplast;1;KG;1,00;0.33;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Aircondition (direkte fordamper) (per 1 kW);1;Pcs;13,40;45.78;3.04;;-24.16;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Aircondition (direkte fordamper) (per 1 kW), EOL;1;Pcs;13,40;;;0.43;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Aluminium, plade og profil, Genanvendelse;1;KG;1,00;;;0.00;-8.27;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Aluminium, støbegods;1;KG;1,00;10.95;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Aluminiumsfolie (d=0,1 mm);1;M2;0,28;3.12;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Aluminiumsplade;1;KG;1,00;10.46;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Aluminiumsprofil;1;KG;1,00;10.68;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ammoniak (R717);1;KG;1,00;2.49;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Anhydrit mix;1;KG;1,00;0.09;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Armeringsnet;1;KG;1,00;0.68;;0.00068207;-0.393;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Asfalt, bærelag;1;KG;1,00;0.07;0.00;;0.03;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Badekar, bruserbakke, akryl;1;KG;1,00;4.21;3.16;;-1.08;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Beslag til dreje-kip vinduer (aluminium);1;Pcs;1647,00;12.37;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Beslag til lodrette skydevinduer;1;Pcs;9,32;11.59;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Beslag til vandrette skydevinduer;1;Pcs;696,00;5.75;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Beslag, stålvindue;1;Pcs;2,63;9.27;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Beton vægelementer, Beton vægelementer, 15 cm tyk væg med 5-15 kg armering;1;M2;320,90;53.10;0.97;0.70;-0.79;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Beton vægelementer, Beton vægelementer, 20 cm tyk væg, med 16-25 kg armering;1;M2;433,90;73.20;1.29;0.93;-1.08;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Beton vægelementer, Beton vægelementer, 20 cm tyk væg, med 5-15 kg armering;1;M2;426,40;66.90;1.28;0.93;-1.01;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Betonmursten;1;M3;2000,00;242.35;13.45;;-4.11;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Betonrør, armeret;1;KG;1,00;0.14;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Betonrør, u-armeret;1;KG;1,00;0.13;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Betontrappe, etagehøj;1;Pcs;1965,00;312.84;13.94;;-3.90;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Bindelag;1;KG;1,00;0.08;0.00;;0.03;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Bitumenemulsion (40% bitumen, 60% vand);1;KG;1,00;0.36;0.00;0.09;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Bitumenklæber;1;KG;1,00;0.61;0.00;0.09;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Blyplader;1;KG;1,00;1.28;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Boksventilator 10.000 m³/h;1;Pcs;68,00;343.01;4.81;;-205.41;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Boksventilator 10.000 m³/h, EOL;1;Pcs;68,00;;;0.04;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Boksventilator 30.000 m³/h;1;Pcs;167,80;846.71;11.87;;-506.24;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Boksventilator 30.000 m³/h, EOL;1;Pcs;167,80;;;0.10;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Boksventilator 5.000 m³/h;1;Pcs;43,00;217.05;3.04;;-130.01;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Boksventilator 5.000 m³/h, EOL;1;Pcs;43,00;;;0.03;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Bomuld;1;KG;1,00;-0.78;2.20;;-0.72;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Bomuld, økologisk;1;KG;1,00;0.55;2.20;;-0.72;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Brandsikkert glas;1;M2;50,05;71.60;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Brandsikkert glas Pyrobel;1;M2;50,05;;;0.65;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Brugsvandsrør, Alu-PEX;1;KG;1,00;7.62;1.88;;-4.80;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Brugsvandsrør, PB;1;KG;1,00;4.00;3.91;;-1.63;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Brugsvandsrør, PEX-Alu-PEX;1;KG;1,00;7.79;3.02;;-2.93;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Brugsvandsrør, rustfast stål;1;KG;1,00;3.56;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Buffertank, rustfast stål;1;KG;1,00;4.06;0.66;;-1.20;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Buffertank, stål;1;KG;1,00;3.17;0.66;;-1.43;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Byggepap;1;M2;0,08;0.09;0.16;;0.06;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Bære-/slidlag, Asfalt;1;KG;1,00;0.08;0.00;;0.03;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Celleglas-isolering 115 kg/m³;1;KG;1,00;1.32;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cement II 325;1;KG;1,00;0.78;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cement II 425;1;KG;1,00;0.80;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cement II 525;1;KG;1,00;0.81;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cement IIA;1;KG;1,00;0.88;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cement IIB;1;KG;1,00;0.72;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cement III 425;1;KG;1,00;0.38;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cement III 525;1;KG;1,00;0.39;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cement IV 325;1;KG;1,00;0.68;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cement IV 425;1;KG;1,00;0.69;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cementbundet spånplade;1;M3;1200,00;1694.15;279.38;;-84.65;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cirkulationspumpe < 50 W;1;Pcs;2,47;13.23;0.43;;-2.53;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cirkulationspumpe < 50 W, EOL;1;Pcs;2,47;;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cirkulationspumpe 250-1000 W;1;Pcs;24,70;132.29;4.33;;-25.31;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cirkulationspumpe 250-1000 W, EOL;1;Pcs;24,70;;;0.23;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cirkulationspumpe 50-250 W;1;Pcs;4,94;26.46;0.87;;-5.06;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Cirkulationspumpe 50-250 W, EOL;1;Pcs;4,94;;;0.05;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
CR-profil til forsejling (chloropren gummi);1;M;0,18;0.90;0.56;;0.28;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Curtain wall facade med 3-lags ruder, stål;1;M2;21,40;97.07;6.20;0.42;-15.47;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Curtain wall facade med 3-lags ruder,aluminium;1;M2;16,50;121.15;6.20;0.42;-37.06;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Curtain wall profiler, aluminium;1;M;5,70;55.16;3.42;;-35.65;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Curtain wall profiler, stål;1;M;9,48;36.63;3.42;;-14.82;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dampspærre PA;1;M2;0,08;0.71;0.22;;0.09;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dampspærre PE (tykkelse 0,0002 m);1;M2;0,20;0.40;0.56;;0.27;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dampspærre, bitumen;1;M2;5,00;2.04;0.00;0.40;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, høvlet konstruktionstræ af nåletræ;1;M3;536,00;-652.00;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, høvlet konstruktionstræ af nåletræ, Forbrænding;1;M3;536,00;;709.00;0.00;-425.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, høvlet konstruktionstræ af nåletræ, Genbrug;1;M3;536,00;;697.00;0.00;-755.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, utørret og opsavet konstruktionstræaf nåletræ;1;M3;644,00;-664.00;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, utørret og opsavet konstruktionstræaf nåletræ, Forbrænding;1;M3;644,00;;709.00;0.00;-425.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, utørret og opsavet konstruktionstræaf nåletræ, Genbrug;1;M3;644,00;;697.00;0.00;-755.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Datakabel, Netværkskabel, PVC;1;M;0,06;0.30;0.05;;0.16;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Decentralt ventilationsanlæg medvarmegenvinding (væg & loft) 60 m3 / h;1;Pcs;3691,00;25.33;4.49;0.05;-11.70;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Difluormethan (R32);1;KG;1,00;5.22;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Downlight armatur, 18W (CFL, G24d);1;Pcs;703,00;4.03;0.00;;-2.58;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, alu, hoveddør;1;M2;47,00;163.38;10.52;0.12;-92.51;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, alu, røgdør;1;M2;41,00;157.17;0.87;0.24;-70.21;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, alu, T30/EI30;1;M2;55,00;221.42;0.93;0.39;-74.08;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, alu, T90/EI90;1;M2;101,00;351.67;0.93;0.86;-84.72;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, industriport;1;M2;88,54;263.69;0.05;5.71;-121.04;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, stål, indv/udv/brand/røg mv;1;M2;44,10;135.75;0.06;1.72;-63.02;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ECB-plast tagmembran, ifølge DIN 16729(med PES-filt);1,00143;M2;2,32;8.23;7.04;;-3.26;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ekspanderet glasgranulat;1;KG;1,00;0.27;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ekspanderet Ler, sand;1;KG;1,00;0.34;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ekspanderet skifer;1;KG;1,00;0.34;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elastomer-fugebånd, polysulfid;1;KG;1,00;9.16;1.18;;0.55;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elastomer-fugebånd, silikonegummi;1;KG;1,00;6.86;1.52;;-0.70;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elektromagnetisk forkobling, VVG;1;Pcs;0,56;4.23;0.02;0.00;-0.93;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elektronisk forkobling, EVG;1;Pcs;0,40;4.97;0.00;0.08;0.58;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elevator (grundkomponenter pr. stk.);1;Pcs;1603,00;5193.00;37.39;4.88;-1579.64;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elevator (komponenter pr. etage);1;Pcs;333,00;969.29;0.30;;-493.14;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elkabel, 1-leder, PVC, 15 kg kobber;1;M;0,02;0.09;0.01;;0.05;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elkabel, 3-leder, PVC, 45 kg kobber;1;M;0,12;0.42;0.22;;0.19;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elkabel, 5-leder, PVC, 75 kg kobber;1;M;0,17;0.61;0.28;;0.30;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
El-varmepumpe (lodret jordvarme, saltvand)10 kW;1;Pcs;139,00;338.95;4.35;0.03;-156.28;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
El-varmepumpe (lodret jordvarme, saltvand)20 kW;1;Pcs;1498,05;1997.42;4.35;0.03;-156.29;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPDM skum (rørisolering);1;M3;55,00;245.13;137.70;;-69.57;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPDM-tætning til aluminiumsprofil;1;M;0,18;0.58;0.56;0.56;-0.61;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPDM-tætning til aluminiumsprofil, med kuldebroafbrydelse;1;M;0,43;;1.35;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPDM-tætning til aluminiumsprofil, medkuldebroafbrydelse;1;M;0,43;1.38;;1.35;-1.46;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPS isolering (grå) med termisk strålingsabsorber;1;M3;16,60;49.70;;55.60;-28.70;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPS isolering til lofter / gulve ogkælderydervæg / terrændæk 035;1;M3;25,90;75.40;;85.90;-45.20;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPS isolering til lofter / gulve ogkælderydervæg / terrændæk 040;1;M3;18,50;53.80;;61.00;-32.10;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPS isolering til vægge og tage 035;1;M3;22,70;59.50;;75.20;-39.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPS isolering til vægge og tage 040;1;M3;18,00;52.50;;59.50;-31.30;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS limning og mineralsk letpuds;1;M2;11,40;4.74;0.00;0.17;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS limning og mineralsk puds (Dekorputz);1;M2;17,40;7.34;0.00;0.26;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS limning og mineralsk puds (Kratzputz);1;M2;35,18;9.84;0.00;0.53;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS limning og silikonepuds;1;M2;12,30;5.48;0.00;0.19;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS-limning og belægning af syntetiskharpikspuds;1;M2;12,48;6.70;0.00;0.19;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS-limning og belægning afsilikatdispersionspuds;1;M2;12,48;5.48;0.00;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EVA-tagmembran;1;M2;2,00;5.13;7.97;;-3.61;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C20/25 SCC og C25/30) i eksponeringsklasserne X0 og XC1, Fabriksbeton C20/25 SCC (fundament);1;M3;2212,00;215.00;6.94;5.13;-4.74;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C20/25 SCC og C25/30) i eksponeringsklasserne X0 og XC1, Fabriksbeton C20/25 SCC (indvendig væg);1;M3;2212,00;215.00;6.94;5.13;-4.74;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C20/25 SCC og C25/30) i eksponeringsklasserne X0 og XC1, Fabriksbeton C25/30 (gulv);1;M3;2246,00;241.00;6.73;4.97;-4.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C20/25 SCC og C25/30) i eksponeringsklasserne X0 og XC1, Fabriksbeton C25/30 (indervæg);1;M3;2246,00;241.00;6.73;4.97;-4.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C30/37, C35/45 SCC), C30/37 (Bundplade);1;M3;2255,00;;6.72;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C30/37, C35/45 SCC), C30/37(Bundplade);1;M3;2255,00;282.00;;4.97;-4.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C30/37, C35/45 SCC), C30/37(Indvendig væg);1;M3;2255,00;282.00;6.72;4.97;-4.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C30/37, C35/45 SCC), C35/45SCC (gulv);1;M3;2254,00;300.00;6.54;4.83;-4.47;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C30/37, C35/45 SCC), C35/45SCC (Indvendig væg);1;M3;2254,00;300.00;6.54;4.83;-4.47;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton(C35/45), C35/45 – CEM I (Sætmålsbeton);1;M3;2267,00;362.00;7.07;5.23;-4.84;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton(C35/45), C35/45 (fugebeton);1;M3;2256,00;377.00;6.63;4.90;-4.54;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
