Navn;Deklareret faktor;Deklareret enhed;Massefaktor;A1tilA3;C3;C4;D;Type;Kilde
Rør, Afløbsrør, ABS;1;KG;1,00;4.41;2.55;;-1.49;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Rør, Afløbsrør, PVC;1;KG;1,00;1.92;0.61;;0.26;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Rør, Brugsvandsrør, PEX;1;KG;1,00;4.10;3.77;;-1.71;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Rør, glaseret stentøj;1;KG;1,00;;0.01;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Rør, Kloakrør HDPE;1;KG;1,00;2.10;3.45;;-1.71;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Rør, Kloakrør PP;1;KG;1,00;2.62;3.45;;-1.71;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Rør, Kloakrør PVC;1;KG;1,00;2.82;3.01;;-0.67;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Rør, polypropylen (PP);1;KG;1,00;2.62;3.22;;-1.47;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Rør, Regnvandsrør, PVC;1;KG;1,00;2.43;3.01;;-0.67;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Sand 0-2 mm;1;KG;1,00;0.00;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Sand 0-2 mm, tørret;1;KG;1,00;0.03;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Sand, knust, tørret;1;KG;1,00;0.03;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Sandwichelement/facadeelement, Sandwichelement, EPS;1;M2;495,20;87.30;1.49;10.80;-7.83;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Sandwichelement/facadeelement, Sandwichelement, mineraluld;1;M2;501,80;90.60;1.51;1.25;-1.21;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Sanitetskeramik;1;KG;1,00;2.80;0.02;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Savede og tørrede konstruktionstræprodukter af fyr og gran;1;M3;456,00;-680.00;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Savede og tørrede konstruktionstræprodukter af fyr og gran, Forbrænding;1;M3;456,00;;728.00;0.00;-371.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Savede og tørrede konstruktionstræprodukter af fyr og gran, Genbrug;1;M3;456,00;;717.00;0.00;-768.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Silikatmaling (indendørs);1;KG;1,00;0.96;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Silikatmaling (udendørs);1;KG;1,00;1.20;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Singels 2-15 mm;1;KG;1,00;0.01;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Skifer;1;M2;30,00;15.04;0.20;;0.06;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Skorsten opmuret (1 rør);1;M;98,30;23.80;1.61;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Skorsten opmuret (2 rør);1;M;195,60;47.43;3.20;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Skorsten stål (enkelt væg);1;KG;1,00;4.02;0.00;;-1.27;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Skortsten polypropylen (PP);1;KG;1,00;2.50;2.73;;-1.26;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Skærvemastisk asfalt (SMA);1;KG;1,00;0.08;0.00;;0.03;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Skærver 16-32 mm;1;KG;1,00;0.01;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Slaggebeton, sten;1;M3;1400,00;352.84;10.27;;-2.88;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Smeltekammergranulat;1;KG;1,00;0.00;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Solafskærmning, aluminiumslameller;1;M2;2391,00;23.64;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Solafskærmning, polyethylenterephthalat(PET);1,25077;M2;0,40;4.19;1.10;;0.34;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Solcelleanlæg 1000 kWh / m2*a;1;M2;9,00;296.69;;12.14;-36.20;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Solvarmekollektor, plan;1;M2;18,27;104.04;1.18;;-57.24;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Solvarmekollektor, vakuumrør;1;M2;29,50;109.58;2.33;;-38.84;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Spånplade;1;M3;700,00;-873.59;1268.47;;-2.93;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Spånplade, melaminbelagt;1;M3;633,29;-691.47;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stenmel 0/2;1;KG;1,00;0.01;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stikdåse;1;Pcs;77,00;0.39;0.00;;0.04;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stokerfyr;1;Pcs;631,00;1642.03;3.48;1.80;-683.54;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stokerfyr 120-400 kW;1;Pcs;3399,00;7141.52;18.79;;-3691.63;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stokerfyr 120-400 kW, EOL;1;Pcs;3399,00;;;1.80;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stokerfyr 20-120 kW;1;Pcs;921,00;2218.21;5.08;;-998.69;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stokerfyr 20-120 kW, EOL;1;Pcs;921,00;;;1.80;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Støbeasfalt;1;KG;1,00;0.21;0.00;0.08;0.03;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stål, Smedestål;1;KG;1,00;2.81;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stål, valsede profiler og plader;1000;KG;1,00;1125.00;1.84;;-413.40;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stål, Varmgalvaniseret stålplade;1;M2;5,72;16.39;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stål, varmvalset plade, 2-20 mm;1;KG;1,00;2.68;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stål, varmvalset plade, Genanvendelse;1;KG;1,00;;;0.00;-1.81;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stålplade (0,3-3,0mm);1;KG;1,00;2.43;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stålplade (20 mikrometer galvaniseret);1;KG;1,00;2.68;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stålplade, rustfri;1;KG;1,00;3.43;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stålprofil;1;KG;1,00;0.99;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stålprofil, Genanvendelse;1;KG;1,00;;;0.00;0.39;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Stålrør, gevindrør;1;KG;1,00;2.51;0.00;;-1.56;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tagfolie EPDM;1;M2;2,00;8.60;6.80;;-3.39;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tagmembran, PVC;1;M2;1,50;6.07;4.93;;-1.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tagpap, bitumen toplag, ikke skiferbestrøet;1;M2;5,21;5.36;0.00;0.41;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tagpap, bitumen toplag, skiferbestrøet;1;M2;6,20;5.36;0.00;0.49;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tagpap, bitumen undermembran;1;M2;5,00;2.47;0.00;0.40;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tagsten, beton;1000;KG;1,00;255.91;;16.07;-2.68;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tagsten, tegl;1;M2;45,00;15.88;0.30;;0.09;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Teflon-membran, polytetrafluoroethylen(PTFE);1;KG;1,00;14.44;0.36;;0.17;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Teglsten, formur;1;M3;1800,00;528.54;13.21;;-3.70;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Teglsten, genbrugte;1000;KG;1,00;2.70;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Termorude 2x4 mm, Argonfyldt;1;M2;20,50;36.99;1.52;0.33;-0.70;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tetrafluorethan (R134a);1;KG;1,00;8.39;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tetrafluorpropen (R1234ze);1;KG;1,00;6.13;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Toilet sæde / låg, hærdetplast;1;Pcs;2,60;11.55;7.10;;-3.29;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tom affaldsproces;1;KG;1,00;;0.00;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træ, ceder;1;M3;571,00;-809.97;1037.52;;-282.58;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træ, egetræ (12% fugt / 10,7% H2O);1;M3;716,80;-1063.00;1287.83;;-341.22;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træ, fyrretræ (12% fugt / 10,7% H2O);1;M3;548,80;-783.13;985.05;;-260.33;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træ, gran (12% fugt / 10,7% H2O);1;M3;481,60;-693.84;876.04;;-238.75;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træ, lærk;1;M3;660,80;-907.56;1186.90;;-314.26;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træbetonplade;1;M3;360,00;-29.37;317.46;;-113.79;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træbrædder, bøg (12% fugtighed / 10,7% H2O);1;M3;739,20;-1093.21;1328.20;;-352.47;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træfiberisolering;1;M3;157,49;-156.30;238.20;;-124.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træfiberisoleringsplade (våd proces);1;M3;160,00;-182.18;334.69;;-88.66;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træfiberplade, høj densitet, HDF;1;M3;849,92;-854.25;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træfiberplade, medium densitet, MDF;1;M3;737,50;-726.36;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Trægulv, stavparket, 22 mm;1;M2;11,50;-15.05;23.60;;-6.37;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Træprodukter, affaldsforbrænding;1;KG;1,00;;1.80;;0.52;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
TT-element/Ribbedæk, TT60 med 12-18 stk. L12,5 liner, og 1,3-3,3 kg slap armering;1;M2;332,70;56.30;1.00;0.73;-0.70;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
TT-element/Ribbedæk, TT60 med 20-28 stk. L12,5 liner, og 2-4 kg slap armering;1;M2;335,10;57.70;1.01;0.73;-0.71;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
TT-element/Ribbedæk, TTS90 med 16-22 stk. L12,5 liner, og 1-2,5 kg slap armering;1;M2;302,00;55.30;0.91;0.66;-0.61;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tæppeflise;1;M2;1,20;20.00;;4.56;0.10;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tæppeflise EoL;1;M2;1,20;;0.03;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tæppegulvbelægning (tykkelse 0,006 m);1;M2;1,40;;4.05;;-1.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Tætningsliste, EPDB, ekstruderet;1;KG;1,00;4.17;2.88;;-1.70;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Undertag, fiberarmeret PE-membran;1;M2;0,14;0.43;0.32;;0.14;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Undertag, PP-membran;1;M2;0,15;0.41;0.33;;0.16;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Urea formaldehyd skum isolering;1;KG;1,00;2.88;1.88;;-0.67;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vandtætningsmembran, flydende;1;KG;1,00;1.11;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vandvarmer, el, gennemstrøm, 21 kW;1;Pcs;3,95;14.74;4.92;;-6.93;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe (luft-vand) 10 kW;1;Pcs;134,00;458.99;30.09;4.28;-241.52;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe (luft-vand) 14kW;1;Pcs;187,60;642.59;42.12;;-338.13;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe (luft-vand) 14kW, EOL;1;Pcs;187,60;;;5.99;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe (luft-vand) 7kW;1;Pcs;93,80;321.29;21.06;;-169.07;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe (luft-vand) 7kW, EOL;1;Pcs;93,80;;;3.00;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, jordvarmeslange, 20 kW;1;Pcs;184,20;392.97;4.35;;-156.28;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, jordvarmeslange, 20 kW, EOL;1;Pcs;184,20;;;0.03;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, jordvarmeslange, 70 kW;1;Pcs;488,90;931.91;11.48;;-267.74;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, jordvarmeslange, 70 kW, EOL;1;Pcs;488,90;;;0.03;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, jordvarmesonde, 10 kW;1;Pcs;563,00;855.76;4.35;;-156.29;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, jordvarmesonde, 10 kW, EOL;1;Pcs;563,00;;;0.03;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, jordvarmesonde, 70 kW;1;Pcs;4855,00;6262.06;11.48;;-267.67;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, jordvarmesonde, 70 kW, EOL;1;Pcs;4854,66;;;0.03;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, vand-vand, 10 kW;1;Pcs;104,20;284.92;5.22;;-173.46;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, vand-vand, 10 kW;1;Pcs;104,22;;;0.03;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, vand-vand, 20 kW;1;Pcs;104,00;284.32;5.22;;-173.46;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, vand-vand, 20 kW, EOL;1;Pcs;104,00;;;0.03;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, vand-vand, 70 kW;1;Pcs;199,22;553.73;13.66;;-307.48;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Varmepumpe, vand-vand, 70 kW, EOL;1;Pcs;199,22;;;0.03;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vegetationssubstrat;1;KG;1,00;0.05;0.01;;0.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ventilationsaggregat decentraliseret (væg &loft) 60 m3/h, EOL;1;Pcs;878,00;;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ventilationsaggregat m. varmegenvinding 1000 m3 / h;1;Pcs;99,10;372.13;0.61;;-212.09;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ventilationsaggregat m. varmegenvinding 1000 m3 / h, EOL;1;Pcs;99,10;;;0.09;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ventilationsaggregat m. varmegenvinding 10000 m3 / h;1;Pcs;703,94;2815.96;3.47;0.27;-1717.02;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ventilationsaggregat m. varmegenvinding 5000 m3 / h;1;Pcs;367,94;1460.38;1.77;;-881.90;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ventilationsaggregat m. varmegenvinding 5000 m3 / h, EOL;1;Pcs;367,94;;;0.18;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ventilationsanlæg decentraliseret (væg &loft) 60 m3 / h;1;Pcs;878,00;4.09;1.30;;-1.38;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ventilationskanal, galvaniseret stål;1;KG;1,00;3.05;0.00;;-1.59;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vinduesbeslag, aluminium;1;Pcs;1014,00;8.73;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vindueshåndtag;1;Pcs;0,10;0.96;0.25;;0.11;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vindueskarm, aluminium;1;M;1,43;15.77;0.69;;-9.52;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vindueskarm, plast;1;M;2,80;8.25;3.92;;-3.23;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vindueskarm, træ;1;M;2,11;0.37;4.04;;-1.62;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vinduesprofil, karm, alu. pulverlak.;1;M;1,02;13.05;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vinduesramme, aluminium;1;M;1,51;17.06;0.59;;-10.42;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vinduesramme, plast;1;M;3,10;9.24;4.82;;-3.43;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vinduesramme, pulverlakeret aluminium;1;M;0,98;12.54;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vinduesramme, træ;1;M;2,11;0.15;4.04;;-1.61;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vippeafbryder (lyskontakt);1;Pcs;79,00;0.44;0.00;;0.05;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
VVS-rør, blanke kobberrør;1;KG;1,00;1.97;;0.00;-0.73;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
VVS-rør, PE-belagt kobberrør;1;KG;1,00;2.07;;0.96;-1.10;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
VVS-rør, PE-skumbelagt kobberrør;1;KG;1,00;2.29;;0.38;-0.87;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
VVS-rør, PU-skumbelagt kobberrør;1;KG;1,00;2.85;;0.61;-0.95;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
VVS-rør, PVC-belagt kobberrør;1;KG;1,00;1.83;;0.99;-1.12;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vådrumsarmatur til lysstofrør, T8-36W;1;Pcs;3,15;16.65;9.12;;-3.52;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
WPC facadepanel;1;M2;7,79;0.56;8.78;;-2.75;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
WPC terrassebelægning;1;M2;18,36;0.25;21.08;;-4.87;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
XPS isolering;1;M3;32,00;96.34;118.21;;-49.51;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Zink, patineret;1;KG;1,00;2.09;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023